sequential,parallel
0.011778,0.042447
0.024018,0.023995
0.020142,0.024691
0.020172,0.025400
0.020168,0.025992
0.019917,0.013757
0.020331,0.027289
0.020890,0.025076
0.021680,0.024947
0.020364,0.013993
0.019936,0.024768
0.020209,0.024213
0.020604,0.025917
0.020087,0.024807
0.019710,0.024781
0.019999,0.024881
0.019963,0.025103
0.020134,0.024190
0.020327,0.024801
0.020156,0.024697
0.020196,0.024645
0.019615,0.025612
0.019598,0.015855
0.020525,0.025151
0.020198,0.024816
0.020145,0.024768
0.020135,0.024791
0.019811,0.024353
0.020645,0.029137
0.024314,0.024628
0.020282,0.024744
0.020135,0.024735
0.020233,0.024891
0.020125,0.024698
0.020177,0.025545
0.020495,0.025241
0.020086,0.024608
0.019646,0.029380
0.015044,0.032375
0.013332,0.026928
0.014788,0.022174
0.020468,0.024422
0.020798,0.023089
0.018684,0.023456
0.019520,0.024006
0.019189,0.024329
0.020684,0.024315
0.019377,0.024642
0.019617,0.032498
0.022947,0.024814
0.020189,0.024671
0.018912,0.024656
0.020219,0.024539
0.020653,0.024566
0.020332,0.024481
0.019871,0.016300
0.022128,0.032120
0.021132,0.025551
0.021274,0.025861
0.020350,0.031326
0.024416,0.028814
0.020660,0.024340
0.020509,0.024948
0.020276,0.025246
0.019819,0.024807
0.019329,0.024808
0.022790,0.028391
0.016989,0.031209
0.022626,0.033331
0.023890,0.026272
0.020256,0.025176
0.019637,0.024553
0.020634,0.024712
0.020304,0.024457
0.020750,0.025105
0.020221,0.024502
0.020769,0.023920
0.019157,0.029955
0.022355,0.025672
0.020049,0.025428
0.018390,0.025533
0.021860,0.031155
0.021120,0.025104
0.021725,0.024550
0.020617,0.024600
0.020182,0.024167
0.020392,0.025717
0.020180,0.025331
0.020411,0.024265
0.020194,0.024187
0.020458,0.024937
0.020180,0.026183
0.019562,0.023770
0.019425,0.024134
0.020881,0.023978
0.020318,0.024804
0.020200,0.024670
0.020241,0.024455
0.026312,0.023427
0.019269,0.028807
0.023435,0.033800
0.023311,0.026857
0.020229,0.024995
0.020439,0.024722
0.020154,0.028592
0.021547,0.022230
0.018278,0.028289
0.020929,0.029524
0.022949,0.025855
0.020262,0.024755
0.020124,0.024430
0.019603,0.024376
0.018967,0.024554
0.020192,0.027834
0.020569,0.026034
0.019765,0.023481
0.019981,0.029809
0.024142,0.024520
0.020188,0.025979
0.020254,0.025260
0.019120,0.023994
0.020442,0.024518
0.020492,0.024943
0.020334,0.024497
0.020458,0.034115
0.016250,0.027577
0.018088,0.021425
0.021616,0.029674
0.018301,0.014500
0.020508,0.024954
0.020112,0.024744
0.020141,0.024874
0.020198,0.024716
0.020266,0.024556
0.020772,0.024744
0.020060,0.024576
0.020294,0.025693
0.020290,0.025716
0.020210,0.024388
0.019769,0.025166
0.019505,0.032269
0.022653,0.024896
0.019847,0.019268
0.018652,0.021850
0.019409,0.024444
0.020605,0.025308
0.016579,0.019381
0.019213,0.024506
0.020065,0.024762
0.019425,0.017849
0.022113,0.027102
0.018931,0.025121
0.022034,0.029400
0.024606,0.025779
0.020592,0.028262
0.018529,0.024288
